thickness,RE,Umach,AOA,Cl,Cdt,Cdp,Cdf,Cm
9,1.00E+05,0.2,4,0.423711082,1.61E-02,5.58E-03,1.05E-02,-3.87E-03
9,1.00E+05,0.2,5,0.525808525,1.73E-02,7.37E-03,9.93E-03,-5.20E-03
9,1.00E+05,0.2,5.5,0.575556468,1.81E-02,8.53E-03,9.55E-03,-5.97E-03
9,1.00E+05,0.2,6,0.624032933,1.90E-02,9.91E-03,9.13E-03,-6.84E-03
9,1.00E+05,0.2,6.5,0.670720028,2.02E-02,1.16E-02,8.64E-03,-7.84E-03
9,1.00E+05,0.2,7,0.714697863,2.18E-02,1.38E-02,8.07E-03,-9.02E-03
9,1.00E+05,0.2,7.5,0.754360456,2.40E-02,1.66E-02,7.39E-03,-1.04E-02
9,1.00E+05,0.2,8,0.785645903,2.74E-02,2.09E-02,6.52E-03,-1.22E-02
9,1.00E+05,0.2,8.5,0.793188097,3.44E-02,2.92E-02,5.21E-03,-1.45E-02
9,1.00E+05,0.2,9,0.793175074,4.44E-02,4.01E-02,4.30E-03,-1.57E-02
9,1.00E+05,0.2,9.5,0.550166518,9.10E-02,8.68E-02,4.20E-03,2.87E-02
9,1.00E+05,0.2,10,0.865362949,7.99E-02,7.61E-02,3.80E-03,-5.52E-03
9,1.00E+05,0.25,0,-1.55E-09,1.44E-02,2.87E-03,1.16E-02,1.20E-10
9,1.00E+05,0.25,1,0.108165138,1.45E-02,3.03E-03,1.15E-02,-8.99E-04
9,1.00E+05,0.25,2,0.21595672,1.48E-02,3.53E-03,1.13E-02,-1.84E-03
9,1.00E+05,0.25,3,0.322900277,1.54E-02,4.40E-03,1.10E-02,-2.87E-03
9,1.00E+05,0.25,4,0.428379325,1.62E-02,5.71E-03,1.05E-02,-4.07E-03
9,1.00E+05,0.25,5,0.531427283,1.74E-02,7.57E-03,9.85E-03,-5.50E-03
9,1.00E+05,0.25,5.5,0.581524978,1.82E-02,8.78E-03,9.46E-03,-6.35E-03
9,1.00E+05,0.25,6,0.630177152,1.93E-02,1.03E-02,9.01E-03,-7.31E-03
9,1.00E+05,0.25,6.5,0.676712001,2.06E-02,1.21E-02,8.49E-03,-8.43E-03
9,1.00E+05,0.25,7,0.719872523,2.24E-02,1.45E-02,7.87E-03,-9.76E-03
9,1.00E+05,0.25,7.5,0.757238185,2.50E-02,1.78E-02,7.11E-03,-1.14E-02
9,1.00E+05,0.25,8,0.782368118,2.93E-02,2.32E-02,6.09E-03,-1.35E-02
9,1.00E+05,0.25,8.5,0.771729355,3.95E-02,3.49E-02,4.58E-03,-1.53E-02
9,1.00E+05,0.25,9,0.786501798,9.66E-02,9.37E-02,2.92E-03,2.89E-02
9,1.00E+05,0.25,9.5,0.545160283,9.24E-02,8.81E-02,4.29E-03,2.92E-02
9,1.00E+05,0.25,10,0.901351537,8.52E-02,8.04E-02,4.74E-03,5.08E-03
9,1.00E+05,0.3,0,-1.41E-09,1.44E-02,2.93E-03,1.15E-02,-2.04E-10
9,1.00E+05,0.3,1,0.109707678,1.45E-02,3.10E-03,1.15E-02,-9.40E-04
9,1.00E+05,0.3,2,0.219025552,1.49E-02,3.61E-03,1.13E-02,-1.93E-03
9,1.00E+05,0.3,3,0.327457869,1.54E-02,4.52E-03,1.09E-02,-3.04E-03
9,1.00E+05,0.3,4,0.434340928,1.63E-02,5.87E-03,1.04E-02,-4.34E-03
9,1.00E+05,0.3,5,0.538578287,1.76E-02,7.82E-03,9.75E-03,-5.92E-03
9,1.00E+05,0.3,5.5,0.589079592,1.84E-02,9.12E-03,9.33E-03,-6.87E-03
9,1.00E+05,0.3,6,0.637852391,1.96E-02,1.07E-02,8.85E-03,-7.96E-03
9,1.00E+05,0.3,6.5,0.683960692,2.11E-02,1.28E-02,8.28E-03,-9.25E-03
9,1.00E+05,0.3,7,0.725538265,2.32E-02,1.56E-02,7.59E-03,-1.08E-02
9,1.00E+05,0.3,7.5,0.758702996,2.65E-02,1.97E-02,6.71E-03,-1.28E-02
9,1.00E+05,0.3,8,0.773393729,3.24E-02,2.69E-02,5.52E-03,-1.50E-02
9,1.00E+05,0.3,8.5,0.748074733,4.74E-02,4.35E-02,3.94E-03,-1.40E-02
9,1.00E+05,0.3,9,0.647373147,6.18E-02,5.79E-02,3.89E-03,-6.09E-04
9,1.00E+05,0.3,9.5,0.540459105,9.42E-02,8.98E-02,4.41E-03,3.07E-02
9,1.00E+05,0.3,10,0.883012757,8.66E-02,8.40E-02,2.60E-03,3.11E-03
9,1.00E+05,0.35,0,4.61E-10,1.45E-02,3.01E-03,1.15E-02,-1.92E-10
9,1.00E+05,0.35,1,0.111636806,1.46E-02,3.18E-03,1.14E-02,-9.93E-04
9,1.00E+05,0.35,2,0.222859446,1.49E-02,3.72E-03,1.12E-02,-2.05E-03
9,1.00E+05,0.35,3,0.333153171,1.55E-02,4.66E-03,1.08E-02,-3.26E-03
9,1.00E+05,0.35,4,0.441782463,1.64E-02,6.08E-03,1.03E-02,-4.69E-03
9,1.00E+05,0.35,5,0.547455382,1.78E-02,8.16E-03,9.62E-03,-6.49E-03
9,1.00E+05,0.35,5.5,0.598375945,1.87E-02,9.58E-03,9.17E-03,-7.58E-03
9,1.00E+05,0.35,6,0.647092137,2.00E-02,1.14E-02,8.64E-03,-8.87E-03
9,1.00E+05,0.35,6.5,0.692147283,2.18E-02,1.38E-02,8.00E-03,-1.04E-02
9,1.00E+05,0.35,7,0.730638895,2.45E-02,1.72E-02,7.20E-03,-1.23E-02
9,1.00E+05,0.35,7.5,0.756540116,2.89E-02,2.27E-02,6.17E-03,-1.46E-02
9,1.00E+05,0.35,8,0.756686748,3.72E-02,3.23E-02,4.86E-03,-1.64E-02
9,1.00E+05,0.35,8.5,0.637244462,6.42E-02,6.08E-02,3.44E-03,3.82E-03
9,1.00E+05,0.35,9,0.588484203,7.91E-02,7.51E-02,3.95E-03,1.70E-02
9,1.00E+05,0.35,9.5,0.539929794,9.64E-02,9.19E-02,4.54E-03,3.22E-02
9,1.00E+05,0.35,10,0.927355962,9.32E-02,8.98E-02,3.42E-03,-6.55E-02
9,1.00E+05,0.4,0,9.73E-11,1.45E-02,3.10E-03,1.14E-02,-2.83E-11
9,1.00E+05,0.4,1,0.114018341,1.46E-02,3.28E-03,1.14E-02,-1.06E-03
9,1.00E+05,0.4,2,0.227594303,1.50E-02,3.84E-03,1.11E-02,-2.21E-03
9,1.00E+05,0.4,3,0.340187951,1.56E-02,4.83E-03,1.08E-02,-3.54E-03
9,1.00E+05,0.4,4,0.450963188,1.66E-02,6.34E-03,1.02E-02,-5.17E-03
9,1.00E+05,0.4,5,0.558312302,1.81E-02,8.61E-03,9.46E-03,-7.27E-03
9,1.00E+05,0.4,5.5,0.60955766,1.92E-02,1.02E-02,8.96E-03,-8.58E-03
9,1.00E+05,0.4,6,0.657732913,2.07E-02,1.23E-02,8.36E-03,-1.02E-02
9,1.00E+05,0.4,6.5,0.70043867,2.29E-02,1.53E-02,7.62E-03,-1.21E-02
9,1.00E+05,0.4,7,0.733263139,2.65E-02,1.98E-02,6.68E-03,-1.44E-02
9,1.00E+05,0.4,7.5,0.748455975,3.26E-02,2.70E-02,5.51E-03,-1.67E-02
9,1.00E+05,0.4,8,0.732700493,4.32E-02,3.89E-02,4.29E-03,-1.61E-02
9,1.00E+05,0.4,8.5,0.707414208,5.65E-02,5.27E-02,3.80E-03,-9.50E-03
9,1.00E+05,0.4,9,0.571953849,8.42E-02,8.01E-02,4.13E-03,2.17E-02
9,1.00E+05,0.4,9.5,0.534423064,9.82E-02,9.35E-02,4.66E-03,3.27E-02
9,1.00E+05,0.4,10,0.51119798,0.107569101,0.102590073,4.98E-03,3.68E-02
9,1.00E+05,0.45,0,2.63E-11,1.46E-02,3.22E-03,1.14E-02,-3.32E-11
9,1.00E+05,0.45,1,0.116946322,1.47E-02,3.41E-03,1.13E-02,-1.15E-03
9,1.00E+05,0.45,2,0.233423871,1.51E-02,4.00E-03,1.11E-02,-2.42E-03
9,1.00E+05,0.45,3,0.348850882,1.57E-02,5.05E-03,1.07E-02,-3.93E-03
9,1.00E+05,0.45,4,0.462250006,1.68E-02,6.69E-03,1.01E-02,-5.83E-03
9,1.00E+05,0.45,5,0.571435524,1.85E-02,9.23E-03,9.25E-03,-8.38E-03
9,1.00E+05,0.45,5.5,0.622636493,1.98E-02,1.11E-02,8.68E-03,-1.00E-02
9,1.00E+05,0.45,6,0.669063376,2.18E-02,1.38E-02,7.98E-03,-1.20E-02
9,1.00E+05,0.45,6.5,0.706915907,2.48E-02,1.77E-02,7.09E-03,-1.45E-02
9,1.00E+05,0.45,7,0.730732125,2.98E-02,2.37E-02,6.02E-03,-1.70E-02
9,1.00E+05,0.45,7.5,0.732845381,3.78E-02,3.29E-02,4.85E-03,-1.81E-02
9,1.00E+05,0.45,8,0.704709876,5.09E-02,4.69E-02,3.92E-03,-1.24E-02
9,1.00E+05,0.45,8.5,0.621402165,7.00E-02,6.62E-02,3.84E-03,7.24E-03
9,1.00E+05,0.45,9,0.555769904,8.78E-02,8.34E-02,4.35E-03,2.42E-02
9,1.00E+05,0.45,9.5,0.528110207,0.100063338,9.53E-02,4.78E-03,3.27E-02
9,1.00E+05,0.45,10,0.516229596,0.109837153,0.104759539,5.08E-03,3.79E-02
9,1.00E+05,0.5,0,5.28E-11,1.47E-02,3.36E-03,1.13E-02,-4.31E-13
9,1.00E+05,0.5,1,0.120559031,1.48E-02,3.56E-03,1.12E-02,-1.27E-03
9,1.00E+05,0.5,2,0.240627397,1.52E-02,4.20E-03,1.10E-02,-2.69E-03
9,1.00E+05,0.5,3,0.359563251,1.59E-02,5.33E-03,1.06E-02,-4.45E-03
9,1.00E+05,0.5,4,0.476160938,1.71E-02,7.14E-03,9.93E-03,-6.77E-03
9,1.00E+05,0.5,5,0.587037222,1.91E-02,1.01E-02,8.97E-03,-1.00E-02
9,1.00E+05,0.5,5.5,0.636979567,2.09E-02,1.26E-02,8.30E-03,-1.22E-02
9,1.00E+05,0.5,6,0.678944867,2.36E-02,1.62E-02,7.44E-03,-1.49E-02
9,1.00E+05,0.5,6.5,0.708371683,2.80E-02,2.16E-02,6.41E-03,-1.77E-02
9,1.00E+05,0.5,7,0.720093813,3.46E-02,2.94E-02,5.29E-03,-1.93E-02
9,1.00E+05,0.5,7.5,0.706721809,4.48E-02,4.04E-02,4.32E-03,-1.66E-02
9,1.00E+05,0.5,8,0.656764748,5.98E-02,5.59E-02,3.87E-03,-3.75E-03
9,1.00E+05,0.5,8.5,0.588548434,7.70E-02,7.29E-02,4.10E-03,1.42E-02
9,1.00E+05,0.5,9,0.543169544,9.11E-02,8.66E-02,4.56E-03,2.60E-02
9,1.00E+05,0.5,9.5,0.522232636,0.102001335,9.71E-02,4.90E-03,3.28E-02
9,1.00E+05,0.5,10,0.513245726,0.111374095,0.106215338,5.16E-03,3.73E-02
9,1.00E+05,0.55,0,-1.07E-09,1.48E-02,3.54E-03,1.12E-02,-3.59E-10
9,1.00E+05,0.55,1,0.125066089,1.49E-02,3.76E-03,1.12E-02,-1.42E-03
9,1.00E+05,0.55,2,0.249625918,1.53E-02,4.45E-03,1.09E-02,-3.07E-03
9,1.00E+05,0.55,3,0.372963521,1.61E-02,5.70E-03,1.04E-02,-5.21E-03
9,1.00E+05,0.55,4,0.493416848,1.75E-02,7.78E-03,9.73E-03,-8.20E-03
9,1.00E+05,0.55,5,0.604429391,2.02E-02,1.16E-02,8.58E-03,-1.27E-02
9,1.00E+05,0.55,5.5,0.649544524,2.29E-02,1.52E-02,7.74E-03,-1.58E-02
9,1.00E+05,0.55,6,0.682638714,2.70E-02,2.03E-02,6.73E-03,-1.89E-02
9,1.00E+05,0.55,6.5,0.699830903,3.31E-02,2.75E-02,5.64E-03,-2.08E-02
9,1.00E+05,0.55,7,0.695462116,4.18E-02,3.71E-02,4.69E-03,-1.89E-02
9,1.00E+05,0.55,7.5,0.663843587,5.39E-02,4.98E-02,4.12E-03,-9.54E-03
9,1.00E+05,0.55,8,0.610702314,6.84E-02,6.43E-02,4.09E-03,5.36E-03
9,1.00E+05,0.55,8.5,0.562555099,8.25E-02,7.81E-02,4.41E-03,1.84E-02
9,1.00E+05,0.55,9,0.534670659,9.44E-02,8.97E-02,4.76E-03,2.73E-02
9,1.00E+05,0.55,9.5,0.520089885,0.104493739,9.95E-02,5.03E-03,3.31E-02
9,1.00E+05,0.55,10,0.515719391,0.113793178,0.108533598,5.26E-03,3.76E-02
9,1.00E+05,0.6,0,4.24E-11,1.49E-02,3.76E-03,1.12E-02,7.81E-12
9,1.00E+05,0.6,1,0.130794337,1.51E-02,4.01E-03,1.11E-02,-1.64E-03
9,1.00E+05,0.6,2,0.261095298,1.56E-02,4.78E-03,1.08E-02,-3.62E-03
9,1.00E+05,0.6,3,0.390069331,1.65E-02,6.21E-03,1.03E-02,-6.37E-03
9,1.00E+05,0.6,4,0.514785378,1.82E-02,8.79E-03,9.46E-03,-1.06E-02
9,1.00E+05,0.6,5,0.618789763,2.27E-02,1.47E-02,8.02E-03,-1.74E-02
9,1.00E+05,0.6,5.5,0.654380789,2.70E-02,1.99E-02,7.04E-03,-2.08E-02
9,1.00E+05,0.6,6,0.673969181,3.30E-02,2.70E-02,5.98E-03,-2.24E-02
9,1.00E+05,0.6,6.5,0.672738489,4.11E-02,3.60E-02,5.06E-03,-1.99E-02
9,1.00E+05,0.6,7,0.64852146,5.16E-02,4.71E-02,4.48E-03,-1.16E-02
9,1.00E+05,0.6,7.5,0.610781302,6.35E-02,5.92E-02,4.30E-03,3.36E-04
9,1.00E+05,0.6,8,0.572728562,7.57E-02,7.12E-02,4.43E-03,1.18E-02
9,1.00E+05,0.6,8.5,0.544190739,8.72E-02,8.25E-02,4.69E-03,2.11E-02
9,1.00E+05,0.6,9,0.527063525,9.77E-02,9.28E-02,4.95E-03,2.80E-02
9,1.00E+05,0.6,9.5,0.519914852,0.107446384,0.102270757,5.18E-03,3.34E-02
9,1.00E+05,0.6,10,0.51795814,0.116495327,0.111130263,5.37E-03,3.76E-02
9,2.00E+05,0.05,0,4.11E-11,1.24E-02,2.02E-03,1.03E-02,1.16E-11
9,2.00E+05,0.05,1,0.106266277,1.24E-02,2.14E-03,1.03E-02,-7.00E-04
9,2.00E+05,0.05,2,0.212208792,1.27E-02,2.51E-03,1.02E-02,-1.43E-03
9,2.00E+05,0.05,3,0.317486172,1.31E-02,3.14E-03,9.97E-03,-2.22E-03
9,2.00E+05,0.05,4,0.421667662,1.37E-02,4.06E-03,9.68E-03,-3.10E-03
9,2.00E+05,0.05,5,0.52420639,1.46E-02,5.33E-03,9.29E-03,-4.12E-03
9,2.00E+05,0.05,5.5,0.574634359,1.52E-02,6.12E-03,9.06E-03,-4.69E-03
9,2.00E+05,0.05,6,0.624340243,1.58E-02,7.02E-03,8.81E-03,-5.32E-03
9,2.00E+05,0.05,6.5,0.673173109,1.66E-02,8.07E-03,8.52E-03,-6.02E-03
9,2.00E+05,0.05,7,0.720927597,1.75E-02,9.28E-03,8.20E-03,-6.78E-03
9,2.00E+05,0.05,7.5,0.767451975,1.85E-02,1.07E-02,7.85E-03,-7.62E-03
9,2.00E+05,0.05,8,0.812345454,1.98E-02,1.23E-02,7.46E-03,-8.54E-03
9,2.00E+05,0.05,8.5,0.8551904,2.12E-02,1.42E-02,7.03E-03,-9.57E-03
9,2.00E+05,0.05,9,0.895325472,2.30E-02,1.65E-02,6.54E-03,-1.07E-02
9,2.00E+05,0.05,9.5,0.931576589,2.52E-02,1.93E-02,5.99E-03,-1.19E-02
9,2.00E+05,0.05,10,0.877961986,9.08E-02,8.81E-02,2.70E-03,2.25E-02
9,2.00E+05,0.1,0,1.00E-10,1.24E-02,2.04E-03,1.03E-02,3.41E-11
9,2.00E+05,0.1,1,0.106647509,1.24E-02,2.15E-03,1.03E-02,-7.10E-04
9,2.00E+05,0.1,2,0.212969253,1.27E-02,2.52E-03,1.02E-02,-1.45E-03
9,2.00E+05,0.1,3,0.318618728,1.31E-02,3.16E-03,9.96E-03,-2.25E-03
9,2.00E+05,0.1,4,0.423159281,1.37E-02,4.09E-03,9.66E-03,-3.15E-03
9,2.00E+05,0.1,5,0.526029865,1.46E-02,5.37E-03,9.27E-03,-4.20E-03
9,2.00E+05,0.1,5.5,0.576605423,1.52E-02,6.17E-03,9.04E-03,-4.79E-03
9,2.00E+05,0.1,6,0.626439684,1.59E-02,7.09E-03,8.78E-03,-5.44E-03
9,2.00E+05,0.1,6.5,0.675369862,1.66E-02,8.16E-03,8.49E-03,-6.16E-03
9,2.00E+05,0.1,7,0.723180385,1.76E-02,9.39E-03,8.17E-03,-6.95E-03
9,2.00E+05,0.1,7.5,0.769693381,1.86E-02,1.08E-02,7.80E-03,-7.82E-03
9,2.00E+05,0.1,8,0.814475711,1.99E-02,1.25E-02,7.40E-03,-8.79E-03
9,2.00E+05,0.1,8.5,0.857043045,2.14E-02,1.45E-02,6.95E-03,-9.86E-03
9,2.00E+05,0.1,9,0.89659876,2.33E-02,1.69E-02,6.45E-03,-1.10E-02
9,2.00E+05,0.1,9.5,0.931688859,2.57E-02,1.99E-02,5.86E-03,-1.23E-02
9,2.00E+05,0.1,10,0.893675316,9.36E-02,8.99E-02,3.69E-03,3.27E-02
9,2.00E+05,0.15,0,1.82E-11,1.24E-02,2.05E-03,1.03E-02,9.35E-12
9,2.00E+05,0.15,1,0.107294058,1.25E-02,2.17E-03,1.03E-02,-7.26E-04
9,2.00E+05,0.15,2,0.214257777,1.27E-02,2.55E-03,1.02E-02,-1.48E-03
9,2.00E+05,0.15,3,0.320538593,1.31E-02,3.19E-03,9.94E-03,-2.31E-03
9,2.00E+05,0.15,4,0.425687118,1.38E-02,4.13E-03,9.64E-03,-3.25E-03
9,2.00E+05,0.15,5,0.529118651,1.47E-02,5.44E-03,9.24E-03,-4.34E-03
9,2.00E+05,0.15,5.5,0.579942504,1.53E-02,6.26E-03,9.00E-03,-4.97E-03
9,2.00E+05,0.15,6,0.629989652,1.59E-02,7.20E-03,8.73E-03,-5.65E-03
9,2.00E+05,0.15,6.5,0.679077681,1.67E-02,8.30E-03,8.43E-03,-6.41E-03
9,2.00E+05,0.15,7,0.726976431,1.77E-02,9.58E-03,8.10E-03,-7.25E-03
9,2.00E+05,0.15,7.5,0.773426728,1.88E-02,1.11E-02,7.72E-03,-8.19E-03
9,2.00E+05,0.15,8,0.81795332,2.01E-02,1.28E-02,7.30E-03,-9.23E-03
9,2.00E+05,0.15,8.5,0.859918776,2.18E-02,1.50E-02,6.82E-03,-1.04E-02
9,2.00E+05,0.15,9,0.898197734,2.39E-02,1.76E-02,6.27E-03,-1.17E-02
9,2.00E+05,0.15,9.5,0.930589758,2.67E-02,2.11E-02,5.62E-03,-1.31E-02
9,2.00E+05,0.15,10,0.846862417,7.17E-02,6.79E-02,3.85E-03,-9.08E-02
9,2.00E+05,0.2,0,3.81E-11,1.24E-02,2.08E-03,1.03E-02,8.20E-12
9,2.00E+05,0.2,1,0.108222457,1.25E-02,2.20E-03,1.03E-02,-7.50E-04
9,2.00E+05,0.2,2,0.216108535,1.27E-02,2.58E-03,1.01E-02,-1.54E-03
9,2.00E+05,0.2,3,0.323295553,1.31E-02,3.24E-03,9.91E-03,-2.40E-03
9,2.00E+05,0.2,4,0.42931813,1.38E-02,4.20E-03,9.60E-03,-3.39E-03
9,2.00E+05,0.2,5,0.533552844,1.47E-02,5.54E-03,9.19E-03,-4.56E-03
9,2.00E+05,0.2,5.5,0.584728347,1.53E-02,6.39E-03,8.95E-03,-5.23E-03
9,2.00E+05,0.2,6,0.635068456,1.60E-02,7.37E-03,8.67E-03,-5.97E-03
9,2.00E+05,0.2,6.5,0.68436483,1.69E-02,8.52E-03,8.35E-03,-6.79E-03
9,2.00E+05,0.2,7,0.732327203,1.79E-02,9.88E-03,8.00E-03,-7.71E-03
9,2.00E+05,0.2,7.5,0.778614171,1.91E-02,1.15E-02,7.60E-03,-8.75E-03
9,2.00E+05,0.2,8,0.822589156,2.06E-02,1.34E-02,7.14E-03,-9.91E-03
9,2.00E+05,0.2,8.5,0.863275388,2.24E-02,1.58E-02,6.61E-03,-1.12E-02
9,2.00E+05,0.2,9,0.898729043,2.49E-02,1.90E-02,5.97E-03,-1.27E-02
9,2.00E+05,0.2,9.5,0.92387772,2.88E-02,2.36E-02,5.17E-03,-1.43E-02
9,2.00E+05,0.2,10,0.905697568,9.40E-02,8.98E-02,4.20E-03,2.44E-02
9,2.00E+05,0.25,0,3.24E-11,1.24E-02,2.12E-03,1.03E-02,8.76E-12
9,2.00E+05,0.25,1,0.109458064,1.25E-02,2.24E-03,1.02E-02,-7.83E-04
9,2.00E+05,0.25,2,0.21857215,1.27E-02,2.63E-03,1.01E-02,-1.61E-03
9,2.00E+05,0.25,3,0.326967056,1.32E-02,3.30E-03,9.88E-03,-2.53E-03
9,2.00E+05,0.25,4,0.434152693,1.39E-02,4.30E-03,9.56E-03,-3.59E-03
9,2.00E+05,0.25,5,0.539450565,1.48E-02,5.69E-03,9.13E-03,-4.86E-03
9,2.00E+05,0.25,5.5,0.591081529,1.54E-02,6.57E-03,8.87E-03,-5.59E-03
9,2.00E+05,0.25,6,0.641790148,1.62E-02,7.60E-03,8.58E-03,-6.42E-03
9,2.00E+05,0.25,6.5,0.6913135,1.71E-02,8.83E-03,8.24E-03,-7.34E-03
9,2.00E+05,0.25,7,0.7392576,1.82E-02,1.03E-02,7.86E-03,-8.38E-03
9,2.00E+05,0.25,7.5,0.785099518,1.95E-02,1.21E-02,7.42E-03,-9.56E-03
9,2.00E+05,0.25,8,0.827830215,2.12E-02,1.43E-02,6.89E-03,-1.09E-02
9,2.00E+05,0.25,8.5,0.865567866,2.36E-02,1.73E-02,6.26E-03,-1.25E-02
9,2.00E+05,0.25,9,0.893454943,2.72E-02,2.17E-02,5.45E-03,-1.43E-02
9,2.00E+05,0.25,9.5,0.860807647,3.81E-02,3.42E-02,3.87E-03,-1.54E-02
9,2.00E+05,0.25,10,0.917119418,9.75E-02,9.36E-02,3.91E-03,3.51E-02
9,2.00E+05,0.3,0,3.75E-11,1.24E-02,2.16E-03,1.02E-02,8.81E-12
9,2.00E+05,0.3,1,0.111037377,1.25E-02,2.29E-03,1.02E-02,-8.25E-04
9,2.00E+05,0.3,2,0.221721749,1.28E-02,2.69E-03,1.01E-02,-1.70E-03
